0,"Pallet (palletized unit load)"
1,"Case (shipping and exterior container)"
2,"Unit Pack"
3,"Reserved"
4,"Reserved"
5,"Reserved"
6,"Reserved"
7,"Reserved"
8,"Reserved"
9,"Reserved"
10,"Reserved"
11,"Reserved"
12,"Reserved"
13,"Reserved"
14,"Reserved"
15,"Reserved"
